ticker,Category,Panel,ADR? Subyacente?,RATIO,Industria
GGAL,Acciones,Líder,GGAL,10.0,Bancos
YPF,Acciones,Líder,YPF,1.0,Petróleo y Gas
PAM,Acciones,Líder,PAM,25.0,Generación y transporte de energía eléctrica
CRESY,Acciones,Líder,CRESY,10.0,Real Estate
SUPV,Acciones,Líder,SUPV,5.0,Bancos
CEPU,Acciones,Líder,CEPU,10.0,Generación y transporte de energía eléctrica
BMA,Acciones,Líder,BMA,10.0,Bancos
TGS,Acciones,Líder,TGS,5.0,Transporte y distribución de Gas
EDN,Acciones,Líder,EDN,20.0,Generación y transporte de energía eléctrica
LOMA,Acciones,Líder,LOMA,5.0,Construcción
BBAR,Acciones,Líder,BBAR,3.0,Bancos
IRS,Acciones,Líder,IRS,10.0,Real Estate
TEO,Acciones,Líder,TEO,5.0,Telecomunicaciones
PKS,CEDEAR,Pesos,PKX,3.0,
WBO,CEDEAR,Pesos,WB,6.0,
TEFO,CEDEAR,Pesos,TEF,8.0,
TMUS,CEDEAR,Pesos,TMUS,33.0,
PINS,CEDEAR,Pesos,PINS,7.0,
SPCE,CEDEAR,Pesos,SPCE,0.5,
MSTR,CEDEAR,Pesos,MSTR,20.0,
HL,CEDEAR,Pesos,HL,1.0,
BKNG,CEDEAR,Pesos,BKNG,700.0,
HMY,CEDEAR,Pesos,HMY,1.0,
ABEV,CEDEAR,Pesos,ABEV,0.33,
ACN,CEDEAR,Pesos,ACN,75.0,
AEM,CEDEAR,Pesos,AEM,6.0,
TWLO,CEDEAR,Pesos,TWLO,36.0,
BSBR,CEDEAR,Pesos,BSBR,1.0,
VIST,CEDEAR,Pesos,VIST,3.0,
BRFS,CEDEAR,Pesos,BRFS,0.33,
AIG,CEDEAR,Pesos,AIG,5.0,
PAAS,CEDEAR,Pesos,PAAS,3.0,
XYZ,CEDEAR,Pesos,XYZ,20.0,
ABNB,CEDEAR,Pesos,ABNB,15.0,
KGC,CEDEAR,Pesos,KGC,1.0,
BBD,CEDEAR,Pesos,BBD,1.0,
MRVL,CEDEAR,Pesos,MRVL,14.0,
BP,CEDEAR,Pesos,BP,5.0,
X,CEDEAR,Pesos,X,3.0,
MUX,CEDEAR,Pesos,MUX,2.0,
TXR,CEDEAR,Pesos,TX,4.0,
TSLA,CEDEAR,Pesos,TSLA,15.0,
SPGI,CEDEAR,Pesos,SPGI,45.0,
DOCU,CEDEAR,Pesos,DOCU,22.0,
EA,CEDEAR,Pesos,EA,14.0,
ADI,CEDEAR,Pesos,ADI,15.0,
GFI,CEDEAR,Pesos,GFI,1.0,
JOYY,CEDEAR,Pesos,JOYY,5.0,
NEM,CEDEAR,Pesos,NEM,3.0,
DOW,CEDEAR,Pesos,DOW,6.0,
AMX,CEDEAR,Pesos,AMX,1.0,
LAC,CEDEAR,Pesos,LAC,1.0,
ARCO,CEDEAR,Pesos,ARCO,0.5,
ARKK,CEDEAR,Pesos,ARKK,10.0,
JNJ,CEDEAR,Pesos,JNJ,15.0,
SHOP,CEDEAR,Pesos,SHOP,107.0,
GE,CEDEAR,Pesos,GE,8.0,
COST,CEDEAR,Pesos,COST,48.0,
GILD,CEDEAR,Pesos,GILD,4.0,
QCOM,CEDEAR,Pesos,QCOM,11.0,
RIO,CEDEAR,Pesos,RIO,8.0,
TXN,CEDEAR,Pesos,TXN,5.0,
ERIC,CEDEAR,Pesos,ERIC,2.0,
NIO,CEDEAR,Pesos,NIO,4.0,
TSM,CEDEAR,Pesos,TSM,9.0,
SNOW,CEDEAR,Pesos,SNOW,30.0,
AMAT,CEDEAR,Pesos,AMAT,5.0,
MA,CEDEAR,Pesos,MA,33.0,
FDX,CEDEAR,Pesos,FDX,10.0,
ROKU,CEDEAR,Pesos,ROKU,13.0,
ROKU,CEDEAR,Pesos,ROKU,13.0,
VALE,CEDEAR,Pesos,VALE,2.0,
BCS,CEDEAR,Pesos,BCS,1.0,
META,CEDEAR,Pesos,META,24.0,
UL,CEDEAR,Pesos,UL,3.0,
COIN,CEDEAR,Pesos,COIN,27.0,
OXY,CEDEAR,Pesos,OXY,5.0,
JPM,CEDEAR,Pesos,JPM,15.0,
NOK,CEDEAR,Pesos,NOK,1.0,
GS,CEDEAR,Pesos,GS,13.0,
MMM,CEDEAR,Pesos,MMM,10.0,
MELI,CEDEAR,Pesos,MELI,120.0,
HWM,CEDEAR,Pesos,HWM,1.0,
PEP,CEDEAR,Pesos,PEP,18.0,
MU,CEDEAR,Pesos,MU,5.0,
HMC,CEDEAR,Pesos,HMC,1.0,
CAAP,CEDEAR,Pesos,CAAP,0.25,
XOM,CEDEAR,Pesos,XOM,10.0,
ADBE,CEDEAR,Pesos,ADBE,44.0,
TRIP,CEDEAR,Pesos,TRIP,2.0,
DIA,CEDEAR,Pesos,DIA,20.0,
BAC,CEDEAR,Pesos,BAC,4.0,
PLTR,CEDEAR,Pesos,PLTR,3.0,
NGD,CEDEAR,Pesos,NGD,2.0,
QQQ,CEDEAR,Pesos,QQQ,20.0,
GM,CEDEAR,Pesos,GM,6.0,
ETSY,CEDEAR,Pesos,ETSY,16.0,
LVS,CEDEAR,Pesos,LVS,2.0,
NFLX,CEDEAR,Pesos,NFLX,48.0,
ORCL,CEDEAR,Pesos,ORCL,3.0,
WMT,CEDEAR,Pesos,WMT,18.0,
SHEL,CEDEAR,Pesos,SHEL,2.0,
DISN,CEDEAR,Pesos,DIS,12.0,
CDE,CEDEAR,Pesos,CDE,1.0,
UAL,CEDEAR,Pesos,UAL,5.0,
XLE,CEDEAR,Pesos,XLE,2.0,
HPQ,CEDEAR,Pesos,HPQ,1.0,
EEM,CEDEAR,Pesos,EEM,5.0,
DD,CEDEAR,Pesos,DD,5.0,
ABBV,CEDEAR,Pesos,ABBV,10.0,
RTX,CEDEAR,Pesos,RTX,5.0,
BBV,CEDEAR,Pesos,BBVA,1.0,
BIIB,CEDEAR,Pesos,BIIB,13.0,
AXP,CEDEAR,Pesos,AXP,15.0,
NU,CEDEAR,Pesos,NU,2.0,
DEO,CEDEAR,Pesos,DEO,6.0,
MOS,CEDEAR,Pesos,MOS,5.0,
BABA,CEDEAR,Pesos,BABA,9.0,
GLOB,CEDEAR,Pesos,GLOB,18.0,
SPOT,CEDEAR,Pesos,SPOT,28.0,
AMD,CEDEAR,Pesos,AMD,10.0,
BMY,CEDEAR,Pesos,BMY,3.0,
SPY,CEDEAR,Pesos,SPY,20.0,
NXE,CEDEAR,Pesos,NXE,1.0,
MO,CEDEAR,Pesos,MO,4.0,
RBLX,CEDEAR,Pesos,RBLX,2.0,
RIOT,CEDEAR,Pesos,RIOT,3.0,
C,CEDEAR,Pesos,C,3.0,
BHP,CEDEAR,Pesos,BHP,2.0,
SLB,CEDEAR,Pesos,SLB,3.0,
SBUX,CEDEAR,Pesos,SBUX,12.0,
PYPL,CEDEAR,Pesos,PYPL,8.0,
NKE,CEDEAR,Pesos,NKE,12.0,
AAL,CEDEAR,Pesos,AAL,2.0,
USB,CEDEAR,Pesos,USB,5.0,
CRM,CEDEAR,Pesos,CRM,18.0,
GPRK,CEDEAR,Pesos,GPRK,1.0,
HON,CEDEAR,Pesos,HON,8.0,
V,CEDEAR,Pesos,V,18.0,
NVDA,CEDEAR,Pesos,NVDA,24.0,
KO,CEDEAR,Pesos,KO,5.0,
BRK-B,CEDEAR,Pesos,BRKB,22.0,
ZM,CEDEAR,Pesos,ZM,47.0,
ABT,CEDEAR,Pesos,ABT,4.0,
AAPL,CEDEAR,Pesos,AAPL,20.0,
AVGO,CEDEAR,Pesos,AVGO,39.0,
CVX,CEDEAR,Pesos,CVX,16.0,
INTC,CEDEAR,Pesos,INTC,5.0,
VZ,CEDEAR,Pesos,VZ,4.0,
SYY,CEDEAR,Pesos,SYY,8.0,
XLF,CEDEAR,Pesos,XLF,2.0,
IWM,CEDEAR,Pesos,IWM,10.0,
F,CEDEAR,Pesos,F,1.0,
T,CEDEAR,Pesos,T,3.0,
BITF,CEDEAR,Pesos,BITF,0.2,
KMB,CEDEAR,Pesos,KMB,6.0,
BA,CEDEAR,Pesos,BA,24.0,
UGP,CEDEAR,Pesos,UGP,1.0,
UNH,CEDEAR,Pesos,UNH,33.0,
CSCO,CEDEAR,Pesos,CSCO,5.0,
CAT,CEDEAR,Pesos,CAT,20.0,
HAL,CEDEAR,Pesos,HAL,2.0,
GOOGL,CEDEAR,Pesos,GOOGL,58.0,
MRK,CEDEAR,Pesos,MRK,5.0,
BNG,CEDEAR,Pesos,BG,5.0,
DAL,CEDEAR,Pesos,DAL,8.0,
DAL,CEDEAR,Pesos,DAL,8.0,
UBER,CEDEAR,Pesos,UBER,2.0,
AAP,CEDEAR,Pesos,AAP,14.0,
CAH,CEDEAR,Pesos,CAH,3.0,
WBA,CEDEAR,Pesos,WBA,3.0,
MSI,CEDEAR,Pesos,MSI,20.0,
MSFT,CEDEAR,Pesos,MSFT,30.0,
TGT,CEDEAR,Pesos,TGT,24.0,
INFY,CEDEAR,Pesos,INFY,1.0,
GGB,CEDEAR,Pesos,GGB,0.25,
ERJ,CEDEAR,Pesos,ERJ,1.0,
HSY,CEDEAR,Pesos,HSY,21.0,
HD,CEDEAR,Pesos,HD,32.0,
PHG,CEDEAR,Pesos,PHG,5.0,
IBN,CEDEAR,Pesos,IBN,1.0,
FCX,CEDEAR,Pesos,FCX,3.0,
AEG,CEDEAR,Pesos,AEG,1.0,
AZN,CEDEAR,Pesos,AZN,2.0,
WFC,CEDEAR,Pesos,WFC,5.0,
BKR,CEDEAR,Pesos,BKR,7.0,
EWZ,CEDEAR,Pesos,EWZ,2.0,
MCD,CEDEAR,Pesos,MCD,24.0,
GSK,CEDEAR,Pesos,GSK,4.0,
LMT,CEDEAR,Pesos,LMT,20.0,
TM,CEDEAR,Pesos,TM,15.0,
EBAY,CEDEAR,Pesos,EBAY,2.0,
FSLR,CEDEAR,Pesos,FSLR,18.0,
IBM,CEDEAR,Pesos,IBM,15.0,
CL,CEDEAR,Pesos,CL,3.0,
VOD,CEDEAR,Pesos,VOD,1.0,
PANW,CEDEAR,Pesos,PANW,50.0,
JD,CEDEAR,Pesos,JD,4.0,
PSX,CEDEAR,Pesos,PSX,6.0,
LLY,CEDEAR,Pesos,LLY,56.0,
BIOX,CEDEAR,Pesos,BIOX,1.0,
BK,CEDEAR,Pesos,BK,2.0,
SDA,CEDEAR,Pesos,SDA,2.0,
PFE,CEDEAR,Pesos,PFE,4.0,
SAN,CEDEAR,Pesos,SAN,0.25,
AMZN,CEDEAR,Pesos,AMZN,144.0,
UNP,CEDEAR,Pesos,UNP,20.0,
SONY,CEDEAR,Pesos,SONY,8.0,
PAGS,CEDEAR,Pesos,PAGS,3.0,
GLW,CEDEAR,Pesos,GLW,4.0,
BIDU,CEDEAR,Pesos,BIDU,11.0,
CCL,CEDEAR,Pesos,CCL,3.0,
RACE,CEDEAR,Pesos,RACE,83.0,
ITUB,CEDEAR,Pesos,ITUB,1.0,
PG,CEDEAR,Pesos,PG,15.0,
NTES,CEDEAR,Pesos,NTES,14.0,
AMGN,CEDEAR,Pesos,AMGN,30.0,
LRCX,CEDEAR,Pesos,LRCX,56.0,
STNE,CEDEAR,Pesos,STNE,3.0,
PBR,CEDEAR,Pesos,PBR,1.0,
CAR,CEDEAR,Pesos,CAR,26.0,
UPST,CEDEAR,Pesos,UPST,5.0,
TV,CEDEAR,Pesos,TV,3.0,
BB,CEDEAR,Pesos,BB,3.0,
LYG,CEDEAR,Pesos,LYG,2.0,
DE,CEDEAR,Pesos,DE,40.0,
LAR,CEDEAR,Pesos,LAR,1.0,
HUT,CEDEAR,Pesos,HUT,0.2,
MRNA,CEDEAR,Pesos,MRNA,19.0,
ADP,CEDEAR,Pesos,ADP,6.0,
STLA,CEDEAR,Pesos,STLA,5.0,
IP,CEDEAR,Pesos,IP,4.0,
SE,CEDEAR,Pesos,SE,32.0,
MDLZ,CEDEAR,Pesos,MDLZ,15.0,
CVS,CEDEAR,Pesos,CVS,15.0,
SATL,CEDEAR,Pesos,SATL,1.0,
SID,CEDEAR,Pesos,SID,0.125,
ISRG,CEDEAR,Pesos,ISRG,90.0,
EQNR,CEDEAR,Pesos,EQNR,6.0,
JMIA,CEDEAR,Pesos,JMIA,1.0,
GT,CEDEAR,Pesos,GT,2.0,
TEN,CEDEAR,Pesos,TS,1.0,
PM,CEDEAR,Pesos,PM,18.0,
SCHW,CEDEAR,Pesos,SCHW,13.0,
SWKS,CEDEAR,Pesos,SWKS,21.0,
PM,CEDEAR,Pesos,PM,18.0,
SCHW,CEDEAR,Pesos,SCHW,13.0,
SWKS,CEDEAR,Pesos,SWKS,21.0,
ARM,CEDEAR,Pesos,ARM,27.0,
DHR,CEDEAR,Pesos,DHR,54.0,
ORLY,CEDEAR,Pesos,ORLY,222.0,
TJX,CEDEAR,Pesos,TJX,22.0,
ADGO,CEDEAR,Pesos,AGRO,1.0,
SHPW,CEDEAR,Pesos,SHPW,0.5,
XP,CEDEAR,Pesos,XP,4.0,
NTCO,CEDEAR,Pesos,NTCO,1.0,
CBRD,CEDEAR,Pesos,CBRD,1.0,
IBIT,CEDEAR,Pesos,IBIT,10.0,
FXI,CEDEAR,Pesos,FXI,5.0,
ETHA,CEDEAR,Pesos,ETHA,5.0,
GLD,CEDEAR,Pesos,GLD,50.0,
